Title,RottenTomatoes,BoxOffice,ViewCount
La La Land,91,151101803,62055087
Moonlight,98,27854932,22235423
Arrival,94,100546139,34940970
Rogue One: A Star Wars Story,84,533539991,118996475
John Wick: Chapter 2,89,92029184,42059930
Get Out,98,176196665,25048239
Logan,93,226277068,65760866
Wonder Woman,93,412845172,127319218
Dunkirk,92,189740665,64585396
Black Panther,96,700426566,193518333
Avengers: Infinity War,85,678815482,586866007
A Star Is Born,90,215333122,49749863
Bohemian Rhapsody,60,216668042,82433978
Joker,68,335477657,261818543
Parasite,99,53369749,33512918
Knives Out,97,165363234,48179096
1917,88,159227644,63233405
Tenet,70,58504105,96081519
Soul,95,946154,46046444
Nomadland,93,3700000,16724966
Spider-Man: No Way Home,93,814866759,200037196
Dune,36,31439560,140652816
The Batman,85,369345583,149084010
Everything Everywhere All at Once,94,77191785,40177787
Top Gun: Maverick,96,718732821,121596349
In the Lost Lands,25,1870305,
A Minecraft Movie,,200361733,
G20,,,
Novocaine,82,19861854,
Gunslingers,,,
Captain America: Brave New World,48,199570687,
The Hard Hit,,,
Cleaner,17,,
Deva,,,
Carjackers,,,
Mickey 17,78,45537252,
Turno nocturno,,,
Moana 2,61,460308256,
The Codes of War,,,
Ask Me What You Want,,,
Mufasa: The Lion King,57,254564553,
The Quiet Ones,39,8509867,
Sonic the Hedgehog 3,85,236027853,
Cosmic Chaos,,,
Fight or Flight,100,,
Laila,,,
A Working Man,,,
Heart Eyes,81,30313513,
Sugar Baby,100,,
Flight Risk,29,29783527,

TOTAL VIEWS,2692714834
AVERAGE ROTTEN TOMATOES,78.39
